07:12:17 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_topk2_cos40_clamp).
07:12:18 | INFO    | __main__ | Starting training for 200 epochs...
07:12:18 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
08:25:39 | INFO    | __main__ |   ↑ New best mean recall: 18.05
08:28:11 | INFO    | __main__ | Epoch  29/200 | loss=2.3678 | lr=1.69e-03 | 127.4s | R@1=7.7/8.5 R@5=18.8/20.3 mR=18.1
08:30:43 | INFO    | __main__ | Epoch  30/200 | loss=2.2822 | lr=1.43e-03 | 127.7s | R@1=8.3/9.4 R@5=20.2/21.8 mR=19.5
08:30:43 | INFO    | __main__ |   ↑ New best mean recall: 19.52
08:33:13 | INFO    | __main__ | Epoch  31/200 | loss=2.2601 | lr=1.19e-03 | 126.4s | R@1=8.8/9.9 R@5=21.2/22.9 mR=20.4
08:33:13 | INFO    | __main__ |   ↑ New best mean recall: 20.36
08:35:43 | INFO    | __main__ | Epoch  32/200 | loss=2.2086 | lr=9.67e-04 | 125.3s | R@1=10.0/10.8 R@5=23.5/24.6 mR=22.1
08:35:43 | INFO    | __main__ |   ↑ New best mean recall: 22.14
08:38:12 | INFO    | __main__ | Epoch  33/200 | loss=2.1276 | lr=7.66e-04 | 125.6s | R@1=9.9/10.6 R@5=23.4/24.3 mR=22.0
08:40:40 | INFO    | __main__ | Epoch  34/200 | loss=2.0935 | lr=5.86e-04 | 123.9s | R@1=11.4/12.8 R@5=26.0/28.2 mR=25.0
08:40:40 | INFO    | __main__ |   ↑ New best mean recall: 25.00
08:43:09 | INFO    | __main__ | Epoch  35/200 | loss=2.0357 | lr=4.28e-04 | 124.8s | R@1=12.4/13.9 R@5=28.1/29.8 mR=26.6
08:43:09 | INFO    | __main__ |   ↑ New best mean recall: 26.61
08:45:36 | INFO    | __main__ | Epoch  36/200 | loss=1.9321 | lr=2.94e-04 | 122.9s | R@1=13.3/15.1 R@5=29.5/31.6 mR=28.0
08:45:36 | INFO    | __main__ |   ↑ New best mean recall: 28.03
08:48:07 | INFO    | __main__ | Epoch  37/200 | loss=1.8649 | lr=1.85e-04 | 125.4s | R@1=14.6/16.4 R@5=31.7/34.1 mR=30.2
08:48:07 | INFO    | __main__ |   ↑ New best mean recall: 30.24
08:50:40 | INFO    | __main__ | Epoch  38/200 | loss=1.7673 | lr=1.00e-04 | 128.7s | R@1=16.2/18.5 R@5=34.5/37.0 mR=32.8
08:50:40 | INFO    | __main__ |   ↑ New best mean recall: 32.81
08:53:21 | INFO    | __main__ | Epoch  39/200 | loss=1.6653 | lr=4.12e-05 | 135.8s | R@1=18.0/20.4 R@5=37.2/39.8 mR=35.3
08:53:21 | INFO    | __main__ |   ↑ New best mean recall: 35.30
08:55:55 | INFO    | __main__ | Epoch  40/200 | loss=1.5210 | lr=8.36e-06 | 128.8s | R@1=19.1/21.5 R@5=38.9/41.6 mR=36.9
08:55:56 | INFO    | __main__ |   ↑ New best mean recall: 36.88
08:58:29 | INFO    | __main__ | Epoch  41/200 | loss=1.4175 | lr=1.00e-06 | 128.8s | R@1=19.2/21.8 R@5=39.2/41.9 mR=37.2
08:58:29 | INFO    | __main__ |   ↑ New best mean recall: 37.22
09:01:01 | INFO    | __main__ | Epoch  42/200 | loss=1.3990 | lr=1.00e-06 | 128.6s | R@1=19.2/21.9 R@5=39.3/42.1 mR=37.3
09:01:01 | INFO    | __main__ |   ↑ New best mean recall: 37.29
09:03:31 | INFO    | __main__ | Epoch  43/200 | loss=1.3943 | lr=1.00e-06 | 126.0s | R@1=19.1/21.9 R@5=39.3/42.0 mR=37.3
09:06:01 | INFO    | __main__ | Epoch  44/200 | loss=1.3897 | lr=1.00e-06 | 125.7s | R@1=19.2/21.8 R@5=39.4/42.1 mR=37.3
09:06:01 | INFO    | __main__ |   ↑ New best mean recall: 37.31
09:08:31 | INFO    | __main__ | Epoch  45/200 | loss=1.3856 | lr=1.00e-06 | 125.7s | R@1=19.2/21.9 R@5=39.3/42.1 mR=37.3
09:11:01 | INFO    | __main__ | Epoch  46/200 | loss=1.3848 | lr=1.00e-06 | 126.0s | R@1=19.2/21.9 R@5=39.4/42.1 mR=37.3
09:11:01 | INFO    | __main__ |   ↑ New best mean recall: 37.34
09:13:30 | INFO    | __main__ | Epoch  47/200 | loss=1.3849 | lr=1.00e-06 | 125.5s | R@1=19.2/21.9 R@5=39.4/42.1 mR=37.3
09:15:58 | INFO    | __main__ | Epoch  48/200 | loss=1.3828 | lr=1.00e-06 | 122.9s | R@1=19.2/21.9 R@5=39.4/42.1 mR=37.4
09:15:58 | INFO    | __main__ |   ↑ New best mean recall: 37.35
09:18:27 | INFO    | __main__ | Epoch  49/200 | loss=1.3805 | lr=1.00e-06 | 124.6s | R@1=19.2/21.9 R@5=39.4/42.1 mR=37.3
09:20:56 | INFO    | __main__ | Epoch  50/200 | loss=1.3772 | lr=1.00e-06 | 124.7s | R@1=19.2/21.9 R@5=39.5/42.1 mR=37.4
09:20:56 | INFO    | __main__ |   ↑ New best mean recall: 37.36
09:23:26 | INFO    | __main__ | Epoch  51/200 | loss=1.3758 | lr=1.00e-06 | 125.7s | R@1=19.2/21.9 R@5=39.5/42.1 mR=37.4
09:23:26 | INFO    | __main__ |   ↑ New best mean recall: 37.37
09:25:55 | INFO    | __main__ | Epoch  52/200 | loss=1.3752 | lr=1.00e-06 | 125.6s | R@1=19.2/21.9 R@5=39.5/42.1 mR=37.4
09:25:56 | INFO    | __main__ |   ↑ New best mean recall: 37.39
09:28:25 | INFO    | __main__ | Epoch  53/200 | loss=1.3718 | lr=1.00e-06 | 125.8s | R@1=19.3/21.9 R@5=39.5/42.1 mR=37.4
09:28:25 | INFO    | __main__ |   ↑ New best mean recall: 37.40
09:30:55 | INFO    | __main__ | Epoch  54/200 | loss=1.3707 | lr=1.00e-06 | 125.3s | R@1=19.3/21.9 R@5=39.5/42.1 mR=37.4
09:33:29 | INFO    | __main__ | Epoch  55/200 | loss=1.3708 | lr=1.00e-06 | 128.9s | R@1=19.3/21.9 R@5=39.5/42.2 mR=37.4
09:33:29 | INFO    | __main__ |   ↑ New best mean recall: 37.40
09:37:03 | INFO    | __main__ | Epoch  56/200 | loss=1.3690 | lr=1.00e-06 | 188.1s | R@1=19.3/21.9 R@5=39.5/42.1 mR=37.4
09:40:05 | INFO    | __main__ | Epoch  57/200 | loss=1.3659 | lr=1.00e-06 | 157.2s | R@1=19.3/21.9 R@5=39.5/42.1 mR=37.4
09:40:05 | INFO    | __main__ |   ↑ New best mean recall: 37.43
09:42:58 | INFO    | __main__ | Epoch  58/200 | loss=1.3675 | lr=1.00e-06 | 147.9s | R@1=19.4/21.9 R@5=39.6/42.1 mR=37.5
09:42:58 | INFO    | __main__ |   ↑ New best mean recall: 37.45
09:45:34 | INFO    | __main__ | Epoch  59/200 | loss=1.3667 | lr=1.00e-06 | 130.9s | R@1=19.3/21.9 R@5=39.6/42.2 mR=37.5
09:45:34 | INFO    | __main__ |   ↑ New best mean recall: 37.45
09:48:06 | INFO    | __main__ | Epoch  60/200 | loss=1.3632 | lr=1.00e-06 | 128.0s | R@1=19.3/21.9 R@5=39.5/42.1 mR=37.4
09:50:37 | INFO    | __main__ | Epoch  61/200 | loss=1.3638 | lr=1.00e-06 | 126.0s | R@1=19.3/22.0 R@5=39.5/42.2 mR=37.4
09:53:08 | INFO    | __main__ | Epoch  62/200 | loss=1.3616 | lr=1.00e-06 | 127.2s | R@1=19.3/22.0 R@5=39.5/42.2 mR=37.4
09:55:39 | INFO    | __main__ | Epoch  63/200 | loss=1.3634 | lr=1.00e-06 | 127.0s | R@1=19.3/22.0 R@5=39.5/42.1 mR=37.4
09:58:11 | INFO    | __main__ | Epoch  64/200 | loss=1.3588 | lr=1.00e-06 | 127.8s | R@1=19.3/22.0 R@5=39.5/42.1 mR=37.4
10:00:44 | INFO    | __main__ | Epoch  65/200 | loss=1.3597 | lr=1.00e-06 | 129.1s | R@1=19.3/22.0 R@5=39.5/42.1 mR=37.4
10:03:16 | INFO    | __main__ | Epoch  66/200 | loss=1.3567 | lr=1.00e-06 | 128.3s | R@1=19.3/22.0 R@5=39.4/42.1 mR=37.4
10:05:52 | INFO    | __main__ | Epoch  67/200 | loss=1.3554 | lr=1.00e-06 | 130.8s | R@1=19.3/21.9 R@5=39.5/42.1 mR=37.4
10:08:42 | INFO    | __main__ | Epoch  68/200 | loss=1.3570 | lr=1.00e-06 | 144.3s | R@1=19.3/21.9 R@5=39.4/42.1 mR=37.4
10:11:17 | INFO    | __main__ | Epoch  69/200 | loss=1.3530 | lr=1.00e-06 | 130.5s | R@1=19.4/22.0 R@5=39.5/42.0 mR=37.4
10:13:58 | INFO    | __main__ | Epoch  70/200 | loss=1.3538 | lr=1.00e-06 | 136.4s | R@1=19.3/22.0 R@5=39.5/42.0 mR=37.4
10:16:28 | INFO    | __main__ | Epoch  71/200 | loss=1.3543 | lr=1.00e-06 | 126.4s | R@1=19.3/22.0 R@5=39.5/42.0 mR=37.4
10:19:01 | INFO    | __main__ | Epoch  72/200 | loss=1.3536 | lr=1.00e-06 | 128.4s | R@1=19.3/21.9 R@5=39.5/42.0 mR=37.4
10:21:36 | INFO    | __main__ | Epoch  73/200 | loss=1.3518 | lr=1.00e-06 | 130.6s | R@1=19.4/21.9 R@5=39.5/42.1 mR=37.4
10:24:13 | INFO    | __main__ | Epoch  74/200 | loss=1.3494 | lr=1.00e-06 | 132.8s | R@1=19.4/22.0 R@5=39.5/42.1 mR=37.4
10:26:51 | INFO    | __main__ | Epoch  75/200 | loss=1.3497 | lr=1.00e-06 | 133.4s | R@1=19.3/22.0 R@5=39.6/42.1 mR=37.4
10:29:28 | INFO    | __main__ | Epoch  76/200 | loss=1.3473 | lr=1.00e-06 | 131.9s | R@1=19.4/21.9 R@5=39.5/42.1 mR=37.4
10:32:10 | INFO    | __main__ | Epoch  77/200 | loss=1.3481 | lr=1.00e-06 | 137.1s | R@1=19.3/22.0 R@5=39.6/42.1 mR=37.4
10:34:54 | INFO    | __main__ | Epoch  78/200 | loss=1.3465 | lr=1.00e-06 | 138.1s | R@1=19.4/21.9 R@5=39.5/42.1 mR=37.4
10:38:14 | INFO    | __main__ | Epoch  79/200 | loss=1.3456 | lr=1.00e-06 | 176.3s | R@1=19.3/21.9 R@5=39.5/42.0 mR=37.4
10:40:49 | INFO    | __main__ | Epoch  80/200 | loss=1.3439 | lr=1.00e-06 | 130.9s | R@1=19.3/21.9 R@5=39.5/42.1 mR=37.4
10:43:50 | INFO    | __main__ | Epoch  81/200 | loss=1.3455 | lr=1.00e-06 | 156.7s | R@1=19.4/22.0 R@5=39.5/42.0 mR=37.4
10:46:41 | INFO    | __main__ | Epoch  82/200 | loss=1.3440 | lr=1.00e-06 | 146.2s | R@1=19.4/21.9 R@5=39.6/42.0 mR=37.4
10:49:20 | INFO    | __main__ | Epoch  83/200 | loss=1.3439 | lr=1.00e-06 | 132.9s | R@1=19.4/22.0 R@5=39.6/42.0 mR=37.4
10:52:48 | INFO    | __main__ | Epoch  84/200 | loss=1.3415 | lr=1.00e-06 | 183.8s | R@1=19.4/21.9 R@5=39.6/42.0 mR=37.4
