03:55:14 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_topk2_cos40_clamp).
03:55:14 | INFO    | __main__ | Starting training for 200 epochs...
03:55:14 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
05:18:37 | INFO    | __main__ | Epoch  29/200 | loss=2.3678 | lr=1.69e-03 | 150.2s | R@1=7.7/8.5 R@5=18.8/20.3 mR=18.1
05:21:30 | INFO    | __main__ | Epoch  30/200 | loss=2.2822 | lr=1.43e-03 | 147.3s | R@1=8.3/9.4 R@5=20.2/21.8 mR=19.5
05:21:30 | INFO    | __main__ |   ↑ New best mean recall: 19.52
05:24:22 | INFO    | __main__ | Epoch  31/200 | loss=2.2601 | lr=1.19e-03 | 146.5s | R@1=8.8/9.9 R@5=21.2/22.9 mR=20.4
05:24:22 | INFO    | __main__ |   ↑ New best mean recall: 20.36
05:27:17 | INFO    | __main__ | Epoch  32/200 | loss=2.2086 | lr=9.67e-04 | 149.3s | R@1=10.0/10.8 R@5=23.5/24.6 mR=22.1
05:27:17 | INFO    | __main__ |   ↑ New best mean recall: 22.14
05:30:06 | INFO    | __main__ | Epoch  33/200 | loss=2.1276 | lr=7.66e-04 | 143.2s | R@1=9.9/10.6 R@5=23.4/24.3 mR=22.0
05:32:58 | INFO    | __main__ | Epoch  34/200 | loss=2.0935 | lr=5.86e-04 | 146.4s | R@1=11.4/12.8 R@5=26.0/28.2 mR=25.0
05:32:59 | INFO    | __main__ |   ↑ New best mean recall: 25.00
05:35:53 | INFO    | __main__ | Epoch  35/200 | loss=2.0357 | lr=4.28e-04 | 147.3s | R@1=12.4/13.9 R@5=28.1/29.8 mR=26.6
05:35:53 | INFO    | __main__ |   ↑ New best mean recall: 26.61
05:38:41 | INFO    | __main__ | Epoch  36/200 | loss=1.9321 | lr=2.94e-04 | 141.4s | R@1=13.3/15.1 R@5=29.5/31.6 mR=28.0
05:38:41 | INFO    | __main__ |   ↑ New best mean recall: 28.03
05:41:33 | INFO    | __main__ | Epoch  37/200 | loss=1.8649 | lr=1.85e-04 | 146.0s | R@1=14.6/16.4 R@5=31.7/34.1 mR=30.2
05:41:33 | INFO    | __main__ |   ↑ New best mean recall: 30.24
