21:45:08 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_topk2_200ep_cos40).
21:45:08 | INFO    | __main__ | Starting training for 200 epochs...
21:45:08 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
23:06:11 | INFO    | __main__ | Epoch  29/200 | loss=2.3606 | lr=1.68e-03 | 138.4s | R@1=7.7/8.8 R@5=18.8/20.7 mR=18.4
23:06:11 | INFO    | __main__ |   ↑ New best mean recall: 18.38
23:08:59 | INFO    | __main__ | Epoch  30/200 | loss=2.2916 | lr=1.43e-03 | 139.1s | R@1=8.1/9.3 R@5=19.8/22.2 mR=19.4
23:08:59 | INFO    | __main__ |   ↑ New best mean recall: 19.38
23:11:47 | INFO    | __main__ | Epoch  31/200 | loss=2.2716 | lr=1.19e-03 | 139.9s | R@1=8.6/10.0 R@5=20.9/23.2 mR=20.4
23:11:47 | INFO    | __main__ |   ↑ New best mean recall: 20.37
23:14:37 | INFO    | __main__ | Epoch  32/200 | loss=2.2168 | lr=9.66e-04 | 143.3s | R@1=10.0/11.0 R@5=23.3/24.9 mR=22.3
23:14:37 | INFO    | __main__ |   ↑ New best mean recall: 22.34
23:17:24 | INFO    | __main__ | Epoch  33/200 | loss=2.1285 | lr=7.65e-04 | 139.8s | R@1=11.2/11.8 R@5=25.4/26.3 mR=23.8
23:17:24 | INFO    | __main__ |   ↑ New best mean recall: 23.83
23:20:12 | INFO    | __main__ | Epoch  34/200 | loss=2.1060 | lr=5.85e-04 | 141.4s | R@1=11.4/13.0 R@5=25.8/28.1 mR=24.8
23:20:12 | INFO    | __main__ |   ↑ New best mean recall: 24.85
23:23:03 | INFO    | __main__ | Epoch  35/200 | loss=2.0402 | lr=4.27e-04 | 142.3s | R@1=11.6/13.1 R@5=27.0/28.9 mR=25.6
23:23:03 | INFO    | __main__ |   ↑ New best mean recall: 25.65
23:25:52 | INFO    | __main__ | Epoch  36/200 | loss=1.9500 | lr=2.93e-04 | 140.8s | R@1=13.4/15.4 R@5=29.6/31.9 mR=28.4
23:25:52 | INFO    | __main__ |   ↑ New best mean recall: 28.37
23:28:36 | INFO    | __main__ | Epoch  37/200 | loss=1.8739 | lr=1.84e-04 | 138.0s | R@1=14.5/16.7 R@5=31.7/34.6 mR=30.4
23:28:36 | INFO    | __main__ |   ↑ New best mean recall: 30.44
23:31:20 | INFO    | __main__ | Epoch  38/200 | loss=1.7781 | lr=9.90e-05 | 137.0s | R@1=16.3/18.7 R@5=34.7/37.2 mR=33.1
23:31:20 | INFO    | __main__ |   ↑ New best mean recall: 33.11
23:34:04 | INFO    | __main__ | Epoch  39/200 | loss=1.6690 | lr=4.02e-05 | 135.8s | R@1=18.1/20.9 R@5=37.6/40.2 mR=35.7
23:34:04 | INFO    | __main__ |   ↑ New best mean recall: 35.69
23:36:45 | INFO    | __main__ | Epoch  40/200 | loss=1.5242 | lr=7.36e-06 | 135.0s | R@1=19.4/22.1 R@5=39.5/42.4 mR=37.5
23:36:45 | INFO    | __main__ |   ↑ New best mean recall: 37.47
23:39:32 | INFO    | __main__ | Epoch  41/200 | loss=1.4108 | lr=8.39e-07 | 140.5s | R@1=19.3/22.3 R@5=39.5/42.7 mR=37.6
23:39:32 | INFO    | __main__ |   ↑ New best mean recall: 37.62
23:42:19 | INFO    | __main__ | Epoch  42/200 | loss=1.4149 | lr=2.06e-05 | 140.1s | R@1=19.1/22.1 R@5=39.3/42.3 mR=37.4
23:45:04 | INFO    | __main__ | Epoch  43/200 | loss=1.5287 | lr=6.66e-05 | 138.4s | R@1=17.9/20.4 R@5=37.2/39.7 mR=35.2
23:47:45 | INFO    | __main__ | Epoch  44/200 | loss=1.6478 | lr=1.39e-04 | 134.3s | R@1=17.1/19.4 R@5=36.0/38.3 mR=34.1
23:50:29 | INFO    | __main__ | Epoch  45/200 | loss=1.7164 | lr=2.36e-04 | 136.3s | R@1=16.2/18.4 R@5=34.5/37.0 mR=32.8
23:53:15 | INFO    | __main__ | Epoch  46/200 | loss=1.7825 | lr=3.58e-04 | 139.4s | R@1=15.5/17.7 R@5=33.4/35.6 mR=31.7
23:56:06 | INFO    | __main__ | Epoch  47/200 | loss=1.8647 | lr=5.04e-04 | 140.1s | R@1=14.6/16.2 R@5=31.6/33.4 mR=29.9
23:58:49 | INFO    | __main__ | Epoch  48/200 | loss=1.9236 | lr=6.73e-04 | 137.5s | R@1=13.3/15.0 R@5=29.4/31.6 mR=28.0
00:01:37 | INFO    | __main__ | Epoch  49/200 | loss=1.9757 | lr=8.64e-04 | 140.7s | R@1=12.9/14.4 R@5=28.5/30.7 mR=27.3
00:04:19 | INFO    | __main__ | Epoch  50/200 | loss=2.0168 | lr=1.08e-03 | 136.5s | R@1=11.9/13.6 R@5=26.9/29.6 mR=26.0
00:07:05 | INFO    | __main__ | Epoch  51/200 | loss=2.0270 | lr=1.31e-03 | 139.1s | R@1=11.4/12.4 R@5=25.9/27.3 mR=24.5
00:09:48 | INFO    | __main__ | Epoch  52/200 | loss=2.0736 | lr=1.56e-03 | 136.0s | R@1=9.5/11.0 R@5=22.8/25.2 mR=22.1
00:12:37 | INFO    | __main__ | Epoch  53/200 | loss=2.1636 | lr=1.82e-03 | 142.0s | R@1=10.4/11.6 R@5=24.0/26.0 mR=23.0
00:15:28 | INFO    | __main__ | Epoch  54/200 | loss=2.1945 | lr=2.10e-03 | 143.2s | R@1=9.3/10.7 R@5=22.3/24.6 mR=21.7
00:18:16 | INFO    | __main__ | Epoch  55/200 | loss=2.2408 | lr=2.39e-03 | 141.5s | R@1=8.7/9.8 R@5=21.2/22.6 mR=20.3
00:21:03 | INFO    | __main__ | Epoch  56/200 | loss=2.2634 | lr=2.69e-03 | 141.0s | R@1=8.8/9.9 R@5=21.1/23.1 mR=20.4
